GEOID,NAME,total_population,total_poverty,percent_poverty
04019003101,"Census Tract 31.01, Pima County, Arizona",5984,2261,0.3778409090909091
04019003501,"Census Tract 35.01, Pima County, Arizona",7606,3176,0.41756508019984223
04019003502,"Census Tract 35.02, Pima County, Arizona",4600,1737,0.3776086956521739
04019003503,"Census Tract 35.03, Pima County, Arizona",4946,2239,0.45268904164981805
04019003702,"Census Tract 37.02, Pima County, Arizona",6678,2549,0.38170110811620245
04019003704,"Census Tract 37.04, Pima County, Arizona",5253,2426,0.4618313344755378
04019003706,"Census Tract 37.06, Pima County, Arizona",5453,2136,0.3917109847790207
04019003707,"Census Tract 37.07, Pima County, Arizona",3620,1414,0.39060773480662986
04019003801,"Census Tract 38.01, Pima County, Arizona",3331,1402,0.4208946262383669
04019004114,"Census Tract 41.14, Pima County, Arizona",4972,2199,0.4422767497988737
04019004115,"Census Tract 41.15, Pima County, Arizona",7136,3558,0.49859865470852016
04019004510,"Census Tract 45.10, Pima County, Arizona",3584,1978,0.5518973214285714
04019940600,"Census Tract 9406, Pima County, Arizona",1119,461,0.4119749776586238
04019940700,"Census Tract 9407, Pima County, Arizona",1626,1045,0.6426814268142681
04019940800,"Census Tract 9408, Pima County, Arizona",4112,1878,0.4567120622568093
04019941000,"Census Tract 9410, Pima County, Arizona",3982,1820,0.45705675539929685
04021000315,"Census Tract 3.15, Pinal County, Arizona",5079,1946,0.38314628863949596
04021001000,"Census Tract 10, Pinal County, Arizona",4916,2026,0.4121236777868186
04021001500,"Census Tract 15, Pinal County, Arizona",3651,1700,0.4656258559298822
04021002003,"Census Tract 20.03, Pinal County, Arizona",3649,1495,0.4097012880241162
04021941200,"Census Tract 9412, Pinal County, Arizona",6827,3467,0.5078365314193642
04021941300,"Census Tract 9413, Pinal County, Arizona",3158,1589,0.5031665611146295
04023966103,"Census Tract 9661.03, Santa Cruz County, Arizona",1149,443,0.3855526544821584
04023966302,"Census Tract 9663.02, Santa Cruz County, Arizona",3339,1693,0.5070380353399221
04023966402,"Census Tract 9664.02, Santa Cruz County, Arizona",4665,1950,0.4180064308681672
04025002100,"Census Tract 21, Yavapai County, Arizona",2480,1067,0.43024193548387096
04027000301,"Census Tract 3.01, Yuma County, Arizona",3436,1440,0.4190919674039581
04027000302,"Census Tract 3.02, Yuma County, Arizona",4950,2074,0.41898989898989897
04027000404,"Census Tract 4.04, Yuma County, Arizona",3465,1376,0.39711399711399714
04027001004,"Census Tract 10.04, Yuma County, Arizona",2336,847,0.3625856164383562
04027011405,"Census Tract 114.05, Yuma County, Arizona",5624,1979,0.35188477951635844
04027011406,"Census Tract 114.06, Yuma County, Arizona",9410,3380,0.359192348565356
04027011501,"Census Tract 115.01, Yuma County, Arizona",2511,1002,0.39904420549581837
05007020301,"Census Tract 203.01, Benton County, Arkansas",3844,1444,0.3756503642039542
05011950200,"Census Tract 9502, Bradley County, Arkansas",2098,754,0.3593898951382269
05011950500,"Census Tract 9505, Bradley County, Arkansas",2495,931,0.37314629258517035
05017080200,"Census Tract 802, Chicot County, Arkansas",2365,886,0.37463002114164906
05017080400,"Census Tract 804, Chicot County, Arkansas",2539,1091,0.4296967309964553
05027950500,"Census Tract 9505, Columbia County, Arkansas",3689,1878,0.509081051775549
05029950400,"Census Tract 9504, Conway County, Arkansas",2176,832,0.38235294117647056
05031000101,"Census Tract 1.01, Craighead County, Arkansas",4018,1620,0.40318566450970633
05031000602,"Census Tract 6.02, Craighead County, Arkansas",6499,2525,0.3885213109709186
05033020502,"Census Tract 205.02, Crawford County, Arkansas",4496,1589,0.35342526690391457
05035030101,"Census Tract 301.01, Crittenden County, Arkansas",2347,1036,0.4414145717937793
05035030102,"Census Tract 301.02, Crittenden County, Arkansas",3048,1214,0.39829396325459315
05035030302,"Census Tract 303.02, Crittenden County, Arkansas",2413,903,0.37422295897223373
05035030501,"Census Tract 305.01, Crittenden County, Arkansas",904,410,0.45353982300884954
05035030502,"Census Tract 305.02, Crittenden County, Arkansas",857,463,0.5402567094515752
05035030702,"Census Tract 307.02, Crittenden County, Arkansas",1203,579,0.48129675810473815
05035031100,"Census Tract 311, Crittenden County, Arkansas",2536,907,0.35764984227129337
05035031200,"Census Tract 312, Crittenden County, Arkansas",1562,570,0.3649167733674776
05041950300,"Census Tract 9503, Desha County, Arkansas",1683,861,0.5115864527629234
05041950400,"Census Tract 9504, Desha County, Arkansas",2728,1317,0.48277126099706746
05043490200,"Census Tract 4902, Drew County, Arkansas",2694,1084,0.4023756495916852
05045030900,"Census Tract 309, Faulkner County, Arkansas",3298,1783,0.5406306852637962
05051010600,"Census Tract 106, Garland County, Arkansas",3877,1412,0.3641991230332732
05051010700,"Census Tract 107, Garland County, Arkansas",2129,856,0.40206669798027245
05051010800,"Census Tract 108, Garland County, Arkansas",2638,1123,0.4257012888551933
05051011400,"Census Tract 114, Garland County, Arkansas",3481,1261,0.36225222637173227
05051011500,"Census Tract 115, Garland County, Arkansas",2248,820,0.36476868327402134
05055480700,"Census Tract 4807, Greene County, Arkansas",2257,803,0.35578201151971645
05057480500,"Census Tract 4805, Hempstead County, Arkansas",5486,2053,0.37422530076558513
05069000303,"Census Tract 3.03, Jefferson County, Arkansas",3458,1397,0.40399074609600927
05069001200,"Census Tract 12, Jefferson County, Arkansas",1974,1115,0.5648429584599798
05069001300,"Census Tract 13, Jefferson County, Arkansas",1598,724,0.4530663329161452
05069001401,"Census Tract 14.01, Jefferson County, Arkansas",1791,643,0.3590173087660525
05069001600,"Census Tract 16, Jefferson County, Arkansas",3342,1254,0.3752244165170557
05069001901,"Census Tract 19.01, Jefferson County, Arkansas",1456,517,0.3550824175824176
05069001903,"Census Tract 19.03, Jefferson County, Arkansas",2483,1090,0.4389850986709625
05091020500,"Census Tract 205, Miller County, Arkansas",2673,960,0.35914702581369246
05091020600,"Census Tract 206, Miller County, Arkansas",2114,990,0.46830652790917693
05093011000,"Census Tract 110, Mississippi County, Arkansas",4451,2062,0.46326668164457424
05095950100,"Census Tract 9501, Monroe County, Arkansas",3564,1276,0.35802469135802467
05095950200,"Census Tract 9502, Monroe County, Arkansas",2072,783,0.3778957528957529
05103950400,"Census Tract 9504, Ouachita County, Arkansas",3693,1311,0.35499593826157594
05107480400,"Census Tract 4804, Phillips County, Arkansas",1775,896,0.5047887323943662
05107480500,"Census Tract 4805, Phillips County, Arkansas",2362,1429,0.6049957662997459
05107480600,"Census Tract 4806, Phillips County, Arkansas",1889,728,0.3853890947591318
05111490300,"Census Tract 4903, Poinsett County, Arkansas",3605,1361,0.37753120665742024
05119000500,"Census Tract 5, Pulaski County, Arkansas",3141,1258,0.4005093919134034
05119001200,"Census Tract 12, Pulaski County, Arkansas",1385,621,0.4483754512635379
05119001300,"Census Tract 13, Pulaski County, Arkansas",2355,1150,0.4883227176220807
05119001800,"Census Tract 18, Pulaski County, Arkansas",4177,1488,0.356236533397175
05119002600,"Census Tract 26, Pulaski County, Arkansas",1367,551,0.40307242136064375
05119002800,"Census Tract 28, Pulaski County, Arkansas",2799,1800,0.6430868167202572
05119002900,"Census Tract 29, Pulaski County, Arkansas",1591,597,0.3752357008170962
05119003001,"Census Tract 30.01, Pulaski County, Arkansas",3234,1698,0.5250463821892394
05119003002,"Census Tract 30.02, Pulaski County, Arkansas",3607,1775,0.49209869697809816
05119003606,"Census Tract 36.06, Pulaski County, Arkansas",3094,1418,0.45830639948287005
05119004108,"Census Tract 41.08, Pulaski County, Arkansas",4614,1670,0.36194191590810576
05131000100,"Census Tract 1, Sebastian County, Arkansas",5785,2116,0.3657735522904062
05131000200,"Census Tract 2, Sebastian County, Arkansas",4797,2215,0.4617469251615593
05131000300,"Census Tract 3, Sebastian County, Arkansas",2596,1161,0.44722650231124805
05131000400,"Census Tract 4, Sebastian County, Arkansas",3256,1314,0.4035626535626536
05131000501,"Census Tract 5.01, Sebastian County, Arkansas",5446,2404,0.44142489900844656
05131000700,"Census Tract 7, Sebastian County, Arkansas",5373,1919,0.35715615112600035
05131000800,"Census Tract 8, Sebastian County, Arkansas",4468,1567,0.35071620411817367
05143010600,"Census Tract 106, Washington County, Arkansas",6667,2385,0.3577321133943303
05143010701,"Census Tract 107.01, Washington County, Arkansas",7957,3051,0.3834359683297725
